Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Total Shares Traded,Total Value Traded (GH¢)
2025-05-27,MTNGH,3.54,2.5,3.2,3.2,3.2,3.18,-0.02,271112.0,864402.1
2025-05-28,MTNGH,3.54,2.5,3.06,3.06,3.0,3.0,-0.06,276505.0,829313.15
2025-05-29,MTNGH,3.54,2.5,3.0,3.0,3.0,3.0,0.0,104601.0,313803.0
2025-05-30,MTNGH,3.54,2.5,3.0,3.0,2.99,2.98,-0.02,305779.0,910311.44
2025-06-02,MTNGH,3.54,2.5,2.98,2.98,2.87,2.87,-0.11,358519.0,1030558.02
2025-06-03,MTNGH,3.54,2.5,3.0,3.0,3.0,3.0,0.0,1606164.0,313803.0
2025-06-04,MTNGH,3.2,2.5,3.04,3.04,3.07,3.07,0.03,5654705.0,23686.61
2025-06-05,MTNGH,3.2,2.5,3.16,3.16,3.17,3.17,0.01,2358223.0,578615.4
2025-06-09,MTNGH,3.54,2.5,2.81,2.81,2.81,2.81,0.0,855.0,2436.75
2025-06-10,MTNGH,3.54,2.5,2.81,2.81,2.85,2.83,0.02,198318.0,560101.8
2025-06-11,MTNGH,3.54,2.5,2.83,2.83,2.86,2.85,0.02,152110.0,433831.3
2025-06-12,MTNGH,3.54,2.5,2.85,2.85,2.85,2.85,0.0,0.0,0.0
2025-06-13,MTNGH,3.54,2.5,2.85,2.85,2.94,2.94,0.09,1406658.0,4128296.41
2025-06-16,MTNGH,3.54,2.5,2.94,2.94,2.98,2.99,0.05,361112.0,1080350.22
2025-06-17,MTNGH,3.54,2.5,2.99,2.99,2.94,2.94,-0.05,1123647.0,3306611.43
2025-06-18,MTNGH,3.54,2.5,2.94,2.94,2.94,2.99,0.05,97545.0,292064.36
2025-06-19,MTNGH,3.54,2.5,2.99,2.99,2.95,2.94,-0.05,908964.0,2676818.49
2025-06-20,MTNGH,3.54,2.5,2.94,2.94,2.95,2.95,0.01,93083.0,274590.43
2025-06-23,MTNGH,3.54,2.5,2.95,2.95,2.95,2.95,0.0,2415566.0,7122523.36
2025-06-24,MTNGH,3.54,2.5,2.95,2.95,2.93,2.94,-0.01,1374760.0,4039246.9
2025-06-25,MTNGH,3.54,2.5,2.94,2.95,2.93,2.93,-0.01,585881.0,1717033.16
2025-06-26,MTNGH,3.54,2.5,2.93,2.93,2.93,2.93,0.0,136810.0,400853.3
2025-06-27,MTNGH,3.54,2.5,2.93,2.93,2.93,2.93,0.0,222224.0,651116.32
2025-06-30,MTNGH,3.54,2.5,2.93,2.93,2.93,2.93,0.0,5513187.0,16153637.91
2025-07-01,MTNGH,3.54,2.5,2.93,2.93,2.93,2.93,0.0,147219.0,431351.67
2025-07-02,MTNGH,3.54,2.5,2.93,2.93,2.93,2.93,0.0,92195.0,270178.79
2025-07-03,MTNGH,3.54,2.5,2.93,2.93,2.99,2.98,0.05,39538.0,117633.09
2025-07-07,MTNGH,3.54,2.5,2.98,2.98,3.0,3.0,0.02,286023.0,857792.66
2025-07-08,MTNGH,3.54,2.5,3.0,3.0,3.0,3.0,0.0,90648.0,272044.0
2025-07-09,MTNGH,3.54,2.5,3.0,3.0,2.99,2.99,-0.01,1679403.0,5022631.12
2025-07-10,MTNGH,3.54,2.5,2.99,2.99,3.01,3.0,0.01,103450.0,310642.23
2025-07-11,MTNGH,3.54,2.5,3.0,3.0,3.01,3.01,0.01,41122.0,123894.78
2025-07-14,MTNGH,3.54,2.5,3.01,3.01,3.02,3.02,0.01,251556.0,760101.19
2025-07-15,MTNGH,3.54,2.5,3.02,3.02,3.02,3.03,0.01,494284.0,1495451.16
2025-07-16,MTNGH,3.54,2.5,3.03,3.03,3.03,3.03,0.0,417468.0,1264928.04
2025-07-17,MTNGH,3.54,2.5,3.03,3.03,3.03,3.03,0.0,98944.0,299800.32
2025-07-18,MTNGH,3.54,2.5,3.03,3.03,3.04,2.98,-0.05,6638283.0,19785617.03
2025-07-18,MTNGH,13236.18,39443.8,0.0,3.005,0.24,3.005,0.5831,6638283.0,19785617.03
2025-07-21,MTNGH,3.54,2.5,2.98,2.98,3.03,3.03,0.05,5028816.0,15237428.12
2025-07-22,MTNGH,3.54,2.5,3.03,3.03,3.03,3.03,0.0,33783.0,102362.49
2025-07-23,MTNGH,3.54,2.5,3.03,3.03,3.03,3.03,0.0,7405.0,22437.15
2025-07-24,MTNGH,3.54,2.5,3.03,3.03,3.2,3.14,0.11,1130526.0,3549690.6
2025-07-25,MTNGH,3.54,2.5,3.14,3.14,3.25,3.25,0.11,25667361.0,83412273.2
2025-07-28,MTNGH,3.54,2.5,3.25,3.25,3.25,3.25,0.0,9143644.0,29718183.0
2025-07-29,MTNGH,3.54,2.5,3.25,3.25,3.25,3.25,0.0,151559.0,492566.75
2025-07-30,MTNGH,3.54,2.5,3.25,3.25,3.35,3.35,0.1,3438673.0,11517897.65
2025-07-31,MTNGH,3.55,2.5,3.35,3.35,3.55,3.55,0.2,46011424.0,163250269.47
2025-08-01,MTNGH,3.55,2.5,3.55,3.55,3.55,3.55,0.0,480923.0,1708472.14
2025-08-04,MTNGH,3.56,2.5,3.55,3.55,3.56,3.56,0.01,5169601.0,18402181.52
2025-08-05,MTNGH,3.6,2.5,3.56,3.56,3.62,3.6,0.04,656892.0,2365881.1
2025-08-06,MTNGH,3.72,2.5,3.6,3.6,3.8,3.72,0.12,325618.0,1212069.64
2025-08-07,MTNGH,3.87,2.5,3.72,3.72,3.9,3.87,0.15,165379.0,639146.08
